TEMP:26,77 | HUM:67,32 | CO:1,2806 | CO2:0,0516
TEMP:27,09 | HUM:67,32 | CO:1,1903 | CO2:0,0225
TEMP:26,12 | HUM:66,97 | CO:1,1709 | CO2:0,0225
TEMP:29,67 | HUM:66,97 | CO:1,1225 | CO2:0,0903
TEMP:26,45 | HUM:66,8 | CO:1,1161 | CO2:0,0354
TEMP:25,8 | HUM:66,63 | CO:1,132 | CO2:0,0193
TEMP:25,8 | HUM:67,2 | CO:1,1387 | CO2:0,0193
TEMP:27,09 | HUM:67,67 | CO:1,1096 | CO2:0,0225
TEMP:26,77 | HUM:67,67 | CO:1,1161 | CO2:0,0354
TEMP:26,12 | HUM:68,18999 | CO:1,088 | CO2:0,0225
TEMP:26,45 | HUM:67,49 | CO:1,0774 | CO2:0,0451
TEMP:26,12 | HUM:68,18999 | CO:1,0999 | CO2:0,0193
TEMP:25,8 | HUM:68,01 | CO:1,0741 | CO2:0,0193
TEMP:25,8 | HUM:68,01 | CO:1,0806 | CO2:0,0193
TEMP:26,77 | HUM:68,88 | CO:1,0677 | CO2:0,0709
TEMP:26,12 | HUM:68,53 | CO:1,0677 | CO2:0,0193
TEMP:26,77 | HUM:68,36 | CO:1,0838 | CO2:0,0645
TEMP:26,77 | HUM:68,53 | CO:1,0774 | CO2:0,0193
TEMP:25,8 | HUM:68,36 | CO:1,0709 | CO2:0,0193
TEMP:26,12 | HUM:68,36 | CO:1,1096 | CO2:0,0193
TEMP:27,09 | HUM:68,71 | CO:1,0806 | CO2:0,0387
TEMP:25,8 | HUM:68,71 | CO:1,0806 | CO2:0,0193
TEMP:26,12 | HUM:69,06 | CO:1,0741 | CO2:0,0645
TEMP:28,06 | HUM:69,75 | CO:1,0677 | CO2:0,0225
TEMP:26,12 | HUM:69,75 | CO:1,0838 | CO2:0,0258
TEMP:25,16 | HUM:69,92 | CO:1,1064 | CO2:0,0193
TEMP:28,38 | HUM:69,92 | CO:1,0612 | CO2:0,0258
TEMP:26,12 | HUM:70,27 | CO:1,0645 | CO2:0,0161
TEMP:25,8 | HUM:70,27 | CO:1,0645 | CO2:0,0161
TEMP:25,48 | HUM:70,62 | CO:1,0709 | CO2:0,0161
TEMP:28,06 | HUM:70,1 | CO:1,0645 | CO2:0,0161
TEMP:24,83 | HUM:70,4 | CO:1,0709 | CO2:0,0161
TEMP:25,8 | HUM:70,1 | CO:1,0612 | CO2:0,0225
TEMP:24,83 | HUM:70,7 | CO:1,0612 | CO2:0,0161
TEMP:29,03 | HUM:70,62 | CO:1,058 | CO2:0,0193
TEMP:25,48 | HUM:70,6 | CO:1,058 | CO2:0,0193
TEMP:25,48 | HUM:70,62 | CO:1,0645 | CO2:0,0161
TEMP:27,41 | HUM:70,27 | CO:1,0677 | CO2:0,0193
TEMP:25,16 | HUM:70,78999 | CO:1,0677 | CO2:0,0193
TEMP:25,48 | HUM:70,62 | CO:1,0677 | CO2:0,0193
TEMP:24,83 | HUM:70,78999 | CO:1,0677 | CO2:0,0193
TEMP:25,16 | HUM:70,1 | CO:1,0645 | CO2:0,0193
TEMP:25,8 | HUM:70,62 | CO:1,0645 | CO2:0,0193
TEMP:28,7 | HUM:70,78999 | CO:1,0645 | CO2:0,0193
TEMP:25,48 | HUM:70,96 | CO:1,067 | CO2:0,0419
TEMP:25,48 | HUM:70,96 | CO:1,0677 | CO2:0,0258
TEMP:25,8 | HUM:70,9 | CO:1,0774 | CO2:0,0193
TEMP:27,09 | HUM:70,96 | CO:1,0677 | CO2:0,0193
TEMP:26,45 | HUM:70,62 | CO:1,0645 | CO2:0,0193
TEMP:26,12 | HUM:70,96 | CO:1,0677 | CO2:0,0193
TEMP:25,4 | HUM:70,78999 | CO:1,1032 | CO2:0,0161
TEMP:28,06 | HUM:70,44 | CO:1,0741 | CO2:0,0193
